Judul,Abstrak,Tanggal,Author,Jurnal,cluster
LAPORAN PRAKTEK KERJA LAPANGAN PERANCANGAN APLIKASI PENYEWAAN ALAT-ALAT PESTA UD.ADI SURYA MANDIRI,dewasa maju teknologi asa pesat terutamapada bidang teknologi informasi informasi rupa salah satu untuk dukung maju usaha instansi tuju keluar biaya mempersingkatwaktu kerja salah satu manfaat maju teknologi informasi buat aplikasi guna untuk butuh buah usaha cv adi surya mandiri buah usaha gerak bidang jasa sewa alat alat kait pesta baik pesta ulang tahun nikah teliti akan hasil rancang implementasi aplikasi sewa alat alat pesta untuk buah usaha,Publish Date 17 Mar 2019,"Yana, Santa","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 3 (2019): JELIKU Volume 7 No 3, Februari 2019",7
RANCANG BANGUN APLIKASI BACK END MANAJEMEN SURAT MASUK dan KELUAR SEKRETARIAT DPRD PROVINSI BALI,arsip rupa giat rekam peristiwa bagai bentuk media giat arsip penting buah instansi contoh instansi sekretariat provinsi bal instansi arsip surat laku cara konvensional jika surat terima maka sulit untuk cari surat sebut itu resiko hilang surat masalah sebut tulis pikir buah solusi harap dapat ringan masalah arsip surat instansi sebut solusi sebut terap system manajemen surat masuk keluar instansi sekretariat dprd provinsi bal sistem kembang dengan guna metode waterfall dengan guna bahasa pemograman php database mysql kata kunci arsip surat metode waterfall sistem informasi manajemen,Publish Date 17 Mar 2019,"Rahning Putri, Luh Arida Ayu","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 3 (2019): JELIKU Volume 7 No 3, Februari 2019",11
Implementasi Rancang Bangun Sistem Informasi Survei Industri Besar dan Sedang Bulanan Badan Pusat Statistik Provinsi Bali,guna komputer untuk olah data mentah terap bagai survei laku bps selain dapat survei belum guna sistem informasi salah satu survei sebut survei ibs bulan turut data hasil wawancara laku staff bps provinsi bal sulit staff tingkat provinsi untuk laku validasi hadap data guna file excel data kirim seringkali sesuai dengan syarat clean staff provinsi ecek ulang data sebut dasar masalah sebut tulis coba kembang sistem mampu tangan masalah survei ibs bulan sebut sistem ini dapat catat olah data jenis barang hasil usaha manufaktur bulan cara langsung proses olah data jadi efisien hasil dapat bangun buah sistem mampu penuh butuh staf bps untuk entri data ibs bulan laku validasi data entri rupa data clean,Publish Date 20 May 2019,"wayabia, nyoman bramanta","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",11
Rancangan Sistem Pengingat Laporan Iranian Optical Distribution Purpose (ODP),telkom indonesia badan usaha milik negara bumn sedia layan telekomunikasi jaring besar indonesia data akses management daman rupa salah satu divisi tugas untuk updata data siska purifikasi data jaring muncul odp iranian optical distribution purpose odp fungsi untuk lindung tempat kabel fiber optic ada tiap tiang telkom odp lihat website starclik untuk odp lihat straclick saja odp penuh data odp benar di server di karena kemungkinana tugas di lapang lapor data baru divisi daman perlu system ingat lapor odp kurang salah tidak muncul odp,Publish Date 20 May 2019,"Mahendra, Ida Bagus Made","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",11
Pengembangan Back End Aplikasi Keluhan Pelanggan PDAM Tirta Amertha Jati Kabupaten Jembrana,pdam tirta amertha jati pdam jembrana rupa badan usaha milik perintah kabupaten jembrana beri layan masyarakat penuh butuh pokok masyarakat air sistem sedia pdam jembrana upa manual juga online guna sistem online baru bagi bayar ada keluh masih tangan sistem manual agak susah untuk tangan keluh di keluh langgan masalah tulis bangun buah website guna metode extreme programming xp fokus bagi back end website keluh yang nanti harap bantu bagi keluh langgan di akhir tahap website di uji black box untuk tahu layak kata kunci back end extreme programming xp black box,Publish Date 20 May 2019,"Utama, I Putu Yasa","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",14
RANCANG BANGUN SISTEM INFORMASI ARSIP DATA KETERANGAN TENAGA KEPENDIDIKAN BERMASALAH (Studi Kasus: Dinas Pendidikan Provinsi Bali),rancang bangun sistem informasi arsip data tenaga didik masalah bangun tuju untuk arsip data data aju tenaga didik sma masalah sistem informasi bangun html css php mysql metode guna kembang sdlc uji laku black box testing,Publish Date 21 May 2019,"Supriana, I Wayan","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",11
ANALISIS DESAIN SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN PRIORITAS KEBUTUHAN BARANG DAN JASA DI RUMAH SAKIT UMUM DENGAN METODE ANALYTIC HIERARCY PROCESS (Studi Kasus Rumah Sakit Umum Bangli),rumah sakit rupa salah satu fasilitas beri perintah bidangkesehatan untuk tingkat kualitas peyalanan rumah sakit umum membutuhkananggaran dana cukup besar salah satu masalah rumah sakit umum bangli adalahbanyaknya anggar biaya untuk unit bidang rencana sulit untuk menentukanprioritas untuk butuh unit karena untuk tingkat efektifitasserta efisiensi proses susun prioritas sebut buah sistem pendukungkeputusan prioritas butuh barang jasa untuk tiap ruang rumah sakitumum bangli bas web,Publish Date 21 May 2019,"Yoga, Bhaskara Budi","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",7
Pengembangan Aplikasi M-Transaksi Kas Keliling Nasabah LPD Gianyar,the ease of accessing information becomes a very important thing and is a necessity in the digital era now currently collectors of village credit institutions lpds carry out their activities manually for example recording and accessing information on savings accounts for customers the development of digital technology has been very rapid so the collectors want their work to be facilitated by the presence of a digital application that can later help them in activities related to customers and vice versa the problem that is often faced by collectors is that often the collectors are wrong in recording the savings of their customers in addition the loss of books is also another serious problem faced by lpd collectors and so that the problem can be resolved a digital application is needed that is expected to facilitate the business processes that have been running on the lpd,Publish Date 21 May 2019,"Raharja, Made Agung","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",13
Pengembangan Aplikasi Front-End SIM-MITRA (Sistem Informasi Manajemen Mitra Statistik) BPS Kota Denpasar,rekrutmen rupa proses cari temu tarik lamar kapabel untuk kerja suatu organisasi salah satu organisasi butuh proses rekrutmen badan pusat statistik bps butuh tugas sensus perlu bps untuk tunjang hasil kelola data kualitas baik itu organisasi ikut kembang teknologi komunikasi bps juga harap jawab butuh oleh informasi cepat mudah timbang sebut teliti bangun buah sistem informasi manajemen guna metode extreme programming xp ancang alur guna dasar observasi wawancara staff bps kota denpasar aplikasi sistem informasi manajemen mitra statistik sim-mitra gambar interaksi guna sistem aplikasi tiap guna akses fitur beda sesuai hak akses oleh software guna untuk bangun sistem aplikasi ini adalah diagram alur data c mysql databasenya aplikasi sistem informasi manajemen sim harap bantu mudah input data calon mitra staff bps lebih efektif efisien kelola manajemen mitra statistik aplikasi sim-mitra tampil form data mitra form nilai dan rekap hasil mitra terima,Publish Date 21 May 2019,"Anggara Putra, I Wayan Aditya","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",11
Pengembangan Aplikasi Back-End SIM-MITRA (Sistem Informasi Manajemen Mitra Statistik) BPS Kota Denpasar,badan pusat statistik bps lembaga perintah non departemen punya fungsi pokok sedia data statistik dasar baik untuk perintah masyarakat umum cara nasional regional kerja sifat besar sensus survei butuh energi banyak bps rekrut tugas asal kalang tugas kemudian kenal istilah mitra statistik butuh mitra statistik perlu bps untuk tunjang hasil kelola data kualitas kerja optimal proses rekrutmen kelola data mitra statistik sulit kelola cara manual guna berkas jika jumlah mitra statistik rekrut banyak timbang sebut teliti bangun buah aplikasi sistem informasi manajemen mitra statistik sim-mitra guna tahap metode extreme programming xp ancang alur terap dalam sistem dasar observasi wawancara staff bps kota denpasar aplikasi sim-mitra bangun bas desktop guna bahasa c guna mysql bagai databasenya kembang back-end aplikasi sim-mitra akan liput analisis butuh sistem rancang sistem use case diagram class diagram activity diagram entity-relationship diagram erd juga implementasi fitur-fitur admin ada aplikasi sim-mitra ini harap bantu proses rekrutmen kelola data mitra statistik,Publish Date 21 May 2019,"Arya Kadyanan, I Gusti Agung Gede","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",11
Implementasi Dan Konfigurasi Hotspot Rumah Sakit Mata Ramata,router mikrotik milik fitur salah satu fitur cukup populer guna hotspot sering temu sinyal internet wifi password jadi ingin akses wifi sebut tahu password-nya dahulu beda hotspot banyak wifi hotspot password semua user connect akan arah halaman login web browser user login username password beda metode ini sering temu kampus wifi cafe sekolah kantor area publik benar hotspot hanya aplikasi untuk jaring wireless namun untuk jaring kabel hotspot kita konfigurasi jaring hanya guna username password kita dapat laku manajemen hadap user-user sebut misal atur durasi total guna hotspot user batas besar data dapat download user atur konten saja boleh akses user bagai rumah sakit mata ramata rupa buah rumah sakit sedang di bangun letak di denpasar kerja pt djingga media teknokreatif untuk pasang jaring rumah sakit mata ramata rupa instansi guna hotspot kantor tiap device bisa saling hubung internet,Publish Date 15 Jun 2019,"Winata, Mas Adi","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",14
"Rancang Bangun Sistem Front – End Pada Sistem Convert Data Laporan Stasiun Pengamatan Meteorologi, Klimatologi, dan Geofisika di Sub Bidang Manajemen Data BBMKG Wilayah III Denpasar",balai besar meteorologi klimatologi geofisika wilayah iii rupa lembaga perintah non departemen lpnd pimpin kepala badan balai besar meteorologi klimatologi geofisika wilayah iii tugas taung 43 stasiun sebar indonesia barat jawa timur indonesia tengah timur hal sedia data informasi bidang meteorologi klimatologi geofisika balai letak jalan raya tuban kuta kabupaten badung bal balai milik 3 bidang salah satu bidang data informasi bidang data informasi salah satu sub bidang manajemen data sub bidang manajemen data milik masalah kait penginputan data lapor hasil meiliki format beda beda stasiun tidak sesuai atur kepala badan meteorologi klimatologi geofisika nomor 4 tahun 2016 kelola data iklim lingkung badan meteorologi klimatologi geofisika proses penginputan sebut laku cara manual untuk buat system mampu mengconvert data lapor hasil bulan jadi lapor tahun sistem harap bantu kerja pegawai hal laku input data lapor hasil amat 43 stasiun yang di naung balai besar meteorologi klimatologi geofisika wilayah iii kata kunci sistem convert data manajemen data,Publish Date 15 Jun 2019,"Gede Suhartana, I Ketut","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",7
SISTEM AKTIVITAS HARIAN PEGAWAI BERBASIS WEB,human resources development and human resources agency or abbreviated as bkpsdm gianyar regency is a government agency that has the main function of serving personnel administration in the gianyar regency government environment in daily activities the employees are obliged to make a daily work report but the process is still manual by using office excel which takes a long time a system is needed to handle this to make it easier for employees to make and print their daily work reports this system is built using html php css and phpmyadmin for mysql database management system testing with black box method is intended to test the suitability of the software elements that are made keywords system database html php black box,Publish Date 15 Jun 2019,"Masduki, Aan","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",12
PREDIKSI DAN AKURASI NILAI TUKAR MATA UANG RUPIAH TERHADAP US DOLAR MENGGUNAKAN RADIAL BASIS FUNCTION NEURAL NETWORK,currency exchange rates or often referred to as the exchange rate are the price of one unit of a foreign currency in a domestic currency or can also be called the price of a domestic currency against a foreign currency the value of a country s currency is strongly influenced by the flow of capital between countries the high exchange rate of other countries currencies against a country will result in the deterioration of the economic situation of a country the weakening of the currency exchange rate will cause indonesia s foreign debt to increase and the balance sheets of companies and banks will decline the phenomenon of volatile rupiah exchange rate fluctuations often occurs in indonesia which will cause economic conditions especially trade will be disrupted because trade is valued in us dollars usd therefore serious handling is needed in the face of erratic exchange rate fluctuations because it will affect the economic performance of a country so that a decision can be made after knowing the exchange rate of the next period in helping to make decisions the authors make a forecasting model of the rupiah exchange rate against usd using the radial basis function of the neural network in this research used factors that influence the fluctuation of the rupiah exchange rate against idr namely the value of exports imports gdp bi interest rates inflation rates and the money supply in this research optimization of learning rate and hidden neuron parameters was done to get the lowest error value or error rate the results of the research using the radial basis of neural network functions produce accuracy values ranging from 89 - 95 in the training process while the testing process ranges from 67 - 98 and with an error rate of 4 - 11 in the training process while 2 - 32 for testing process key words exchange rates forecasting rbf training testing accuracy,Publish Date 15 Jun 2019,"Gede Suhartana, I Ketut","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",8
“MAX” Robot Pintar Berpendingin Mesin Dengan Sensor Suhu LM35 Berbasis Arduino UNO328P,it has been successfully created a robot named max max robot uses 2 two main sensors those are ultrasonic sensors as sensors that detect an objects and lm35 temperature sensors as sensors to detect and monitor the temperature of the robotic machines both sensors are connected and controlled by atmega328p microcontroller based arduino uno the results of the readings from the temperature sensor on the robot s body will be displayed to the light crystal display lcd the max robot is able to detect objects effectively at a distance of 25 cm then the robot stops and then turns in a certain direction by considering the distance of the object around the robot body if a barrier is not detected the max robot runs straight in addition the max robot is also able to detect and monitor engine temperature on its own and is able to automatically activate engine coolers when the engine temperature is above the set point hot and non-active again when the engine is in normal temperature,Publish Date 23 Jun 2019,"Suardana, Komang Yudi Adnyana","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 4 (2019): JELIKU Volume 7 No 4, Mei 2019",0
Pengembangan Sistem Inventory Control Pada Perusahaan PT Alam Indah Utama,pt alam indah utama dealer resmi lumas pertamina ada bal pt alam indah utama gerak distribusi lumas oli pertamina pt alam indah utama dealer lumas oli resmi untuk daerah bal langsung ambil barang pertamina pusat sistem guna pt alam indah utama guna sistem beri langsung pertamina sistem internal untuk cocok barang ada sistem pusat pertamina sistem internal manual sistem internal usaha fungsi untuk tahu stok barang ada system internal sekarang guna masih tebilang cara manual tulis kembang sistem inventory control internal usaha pt alam indah utama inventory control jadi komputerisasi milik sistem internal inventory control cakup data data langgan barang beli pasok dapat catat stok barang lihat transaksi telah laku tentu mudah guna,Publish Date 09 Aug 2019,"Gede Suhartana, I Ketut","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",11
Pengembangan Aplikasi Human Resources Management System PT. Omnia Media,management sumber daya manusia human resources management rupa penting usaha tuju utama management sumber daya manusia untuk maksimal individu cara efektif tuju capai di dalam laksana management sumber daya manusia perlu sumber daya manusia akan tingkat keluar usaha untuk minimal keluar sebut laku sistem management sumber daya manusia human resources management system proses management sumber daya manusia harap dapat di-otomatisasi perlu sumber daya manusia lebih dan kurang salah yang dapat jadi laku manusia meta butuh user laku proses wawancara hadap manager human resources department pt omnia media blockchain zoo,Publish Date 09 Aug 2019,"Tirtana Putra, Made Arya","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",14
Sistem Informasi Pemasaran Property CV. Hoki Jaya Property,cv hoki jaya property rupa usaha beri jasa design property borong rumah service cv hoki jaya property punya visi bangun konsep kualitas bangun kualitas harga jangkau orang tarik untuk guna jasa hjp hoki jaya property hanya jual rumah kualitas hjp beri jasa renovasi rumah design rumah kendala alami usaha sulit pasar property rumah cara detail luas dari tulis laku praktek kerja lapang cv hoki jaya property guna bangun kembang buah website sistem informasi pasar property harap bantu usaha pasar properti cara detail dapat jangkau masyarakat luas tingkat kuantitas jual properti,Publish Date 09 Aug 2019,"Hendra Suputra, I Putu Gede","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",14
RANCANG BANGUN WEBSITE ARSIP AKTIVITAS HARIAN PEGAWAI BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA KABUPATEN BADUNG,the development of information technology has a very rapid impact on the development of human activities one example is the application of information technology in the form of information systems at the human resources development and human resources agency bkpsdm of badung regency this information system helps employees in bkpsdm especially in the data field to help their work but one of the problems that occurs in bkpsdm in the data field is that employees are still searching for employee map numbers still manually by asking the employee nip and looking for employee map numbers by looking at the hardcopy that is already in the closet so that the time needed to find the employee map number is long enough so that the time to do the other tasks is quite drained from these problems the author makes a solution that is by making an information system that can dance the staff map number by simply entering the nip on the system named e-staffing archive this information system can also import personnel data with the xlsx file format and export personnel data to file xls format this system is built using the codeigniter ci framework with a php backend and mysql database,Publish Date 09 Aug 2019,"Suwitra, I Made Pradnyanandana Suwitra","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",12
Rancang Sistem Notifikasi Dan Pelaporan Iranian Optical Distribution Purpose Berbasis Mobile,pt telkom indonesia badan usaha milik negara bumn sedia layan telekomunikasi jaring besar indonesia pt telkom indonesia awal buah usaha swasta sedia layan pos telegram data akses management daman rupa salah satu divisi tugas purifikasi data jaring updating data siska updating gambar skematik muncul odp iranian optical distribution purpose odp tidak muncul jadi salah komunikasi tim lapang divisi daman data odp terkadang sesuai data ada pusat masalah sebut tulis buat buah aplikasi mobile tugas beri notifikasi lapor hasil kerja kata kunci odp aplikasi mobile,Publish Date 09 Aug 2019,"Santi Astawa, I Gede","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",11
Pengembangan Aplikasi Front-End Pemeliharaan Inventaris Pegawai (Studi Kasus : Bappeda Kabupaten Badung),dewasa kembang teknologi jadi sangat pesat ini semua kerja integrasi satu lain cara cepat mudah guna teknologi informasi baik cepat mudah kerja manusia ada manfaat efisien badan rencana bangun daerah bappeda kabupaten badung salah satu instansi besar dasar manfaat maju teknologi untuk bantu mudah selesai kerja pegawai inventaris milik bappeda beri biaya pagu untuk pelihara tahun misal inventaris kendara motor alat komputer juga tanam hias lihat aspek kelola data data inventaris sebut laku cara manual seringkali jadi keliru hadap beri jumlah pagu untuk inventaris dalam manajemen inventaris barang sebut terap teknologi upa aplikasi karena nya tulis coba kembang aplikasi harap mudah kelola data manajemen inventaris pegawai milik bappeda sebut pegawai laku inputan untuk inventaris mereka milik juga urai biaya pelihara inventaris sebut dari data telah diinput dapat tampil pantau inventaris biaya awat lebih biaya pagu yang mesti ini biaya pelihara untuk masing-masing inventaris dapat guna cara optimal,Publish Date 09 Aug 2019,"Sutanegara, Made Dimas Dwi","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",14
Rancang Bangun Website Arsip Aktivitas Harian Pegawai Badan Kepegawaian Dan Pengembangan Sumber Daya Manusia Kabupaten Badung,information technology currently has a very important take on the development of human activities for example the application of information technology in the form of management information systems at the human resources development and empowerment agency bkpsdm of badung regency this information system helps employees in bkpsdm especially in the data field to help their work but one of the problems that occurs in bkpsdm in the data field is that employees are still searching for employee map numbers still manually by asking the employee nip and looking for employee map numbers by looking at the hardcopy that is already in the closet so that the time needed to find the employee map number is long enough so that the time to do the other tasks is quite drained from these problems the author makes a solution that is by making an information system that can find the employee map number by simply entering the nip on the system named e-staffing archive this information system can also import personnel data with the xlsx file format and export personnel data to file xls format this system is built using the codeigniter ci framework with a php backend and mysql database,Publish Date 09 Aug 2019,"Adi Pramartha, Cokorda Rai","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",12
Perancangan Sistem Chick Maintenance Cycle Menggunakan ERP Pada PT Charoen Pockphand,the development of the world of computers and information technology has been very rapid in recent years a company needs an information system that can accommodate various needs of the company in carrying out business processes with the application of information systems to companies business processes can run more smoothly and faster pt charoen pockphand indonesia wants to create a new system based on an existing system using an erp or enterprises planning resource erp was chosen because it has a wide operating area of functionality namely marketing and sales supply chain management accounts and finance and human resources,Publish Date 09 Aug 2019,"dwipayana, made nanda","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",13
Rancang Bangun Sistem Back End Pada Sistem Convert Data Laporan Stasiun Pengamatan MKG Di Sub Bagian Manajemen Data BBMKG Wilayah III Denpasar,balai balai besar meteorologi klimatologi geofisika wilayah iii rupa lembaga perintah non departemen lpnd pimpin kepala badan balai besar meteorologi klimatologi geofisika wilayah iii tugas taung 43 stasiun sebar indonesia barat jawa timur indonesia tengah timur hal sedia data informasi bidang meteorologi klimatologi geofisika balai letak jalan raya tuban kuta kabupaten badung bal balai milik 3 bidang salah satu bidang data informasi bidang data informasi salah satu sub bidang manajemen data sub bidang manajemen data milik masalah kait penginputan data lapor hasil meiliki format beda beda stasiun tidak sesuai atur kepala badan meteorologi klimatologi geofisika nomor 4 tahun 2016 kelola data iklim lingkung badan meteorologi klimatologi geofisika proses penginputan sebut laku cara manual untuk buat system mampu mengconvert data lapor hasil bulan jadi lapor tahun sistem harap bantu kerja pegawai hal laku input data lapor hasil amat 43 stasiun yang di naung balai besar meteorologi klimatologi geofisika wilayah iii kata kunci bbmkg convert data excel manajemen data sistem,Publish Date 09 Aug 2019,"Ari Mogi, I Komang","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",7
Rancang Bangun Sistem Kuesioner (Studi Kasus: SMA Negeri 2 Semarapura),rancang bangun kuesioner tuju untuk evaluasi hadap program kerja kerja guru pegawai fasilitas sekolah sistem web buat cara dinamis pihak sekolah buat tanya sesuai isu sekolah untuk implementasi guna html css javascript database mysql metode kembang guna rapid aplication development rad fase rencana syarat fase ancang fase laksana hasil uji guna black box tunjuk hasil uji menu fitur aplikasi halaman utama terima kerja dengan mesti,Publish Date 09 Aug 2019,"Putra, I Gede Ari","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",3
Rancang Bangun Sistem Informasi Manajemen Arsip Surat,arsip rupa pusat ingat tiap organisasi instansi olah kurang baik akibat pengaruh reputasi organisasi instansi sebut salah satu guna arsip untuk manajemen document penting surat masuk surat keluar sistem informasi arsip surat masuk keluar kembang dasar metode waterfall harap mudah instansi perintah kantor perbekel desa pecut kelod camat denpasar barat kota denpasar jalan cara optimal layan masyarakat cepat tepat,Publish Date 09 Aug 2019,"Eka Karyawati, A. A. Istri Ngurah","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",7
Perancangan Sistem Pengaturan Suhu Ruangan Otomatis Berbasis Mikrokontroler,a server room is a room that is used to store servers network communication devices such as routers and switches and other operational related devices server rooms that have high temperatures and humidity will affect the performance of all devices so the temperature and humidity of the server room must be maintained so that the device is not easily damaged so from that the company needs to implement a standard to protect the performance of the devices stored in it to overcome this problem a device was developed that can automatically control and monitor temperature and humidity the system will be built using temperature and humidity sensors that are used to monitor the temperature of the room the condition of the room temperature and humidity of the room will be displayed through a website that can be accessed through the internet network,Publish Date 09 Aug 2019,"bratha, dede khausa bayu","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",2
INDEPENDENT COMPONENT ANALYSIS (ICA) DAN SPARSE COMPONENT ANALYSIS (SCA) DALAM PEMISAHAN VOKAL DAN INSTRUMEN PADA SENI GEGUNTANGAN,geguntangan pesantian upacara agama iring gamelan indra dengar manusia cenderung milik batas sebab semua vokal campur gamelan dengar jelas karena perlu sistem guna untuk pisah vokal gamelan geguntangan pisah sumber suara kategori blind source separation bss sebut blind signal separation arti sumber kenal algoritma guna untuk tangan bss algoritma independent component analysis ica sparse component analysis sca fokus pisah sinyal suara file suara format wav algoritma sca ica guna untuk proses pisah suara parameter nilai guna mean square error mse signalto interference ratio sir hasil simulasi tunjuk hasil hitung mse sir dengan guna mixing matriks 0 3816 0 8678 0 8534 -0 5853 dapat untuk metode ica nilai mse besar 4 169380402433175 x 10-6 untuk instrumen 2 884749383815846 x 10-5 untuk vokal dapat nilai sir besar 53 79928479270223 untuk instrumen 45 39891910741724 untuk vokal lanjut untuk metode sca nilai mse besar 3 382207103335018 x 10-5 untuk instrumen 3 099942460987607 x 10-5 untuk vokal dapat nilai sir besar 44 707998026869014 untuk instrumen 45 08646367168143 untuk vokal,Publish Date 21 Sep 2019,"Widiartha, I Made","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 1 (2019): JELIKU Volume 8 No 1, Agustus 2019",3
Klasifikasi Penyakit Kanker Payudara Menggunakan Jaringan Syaraf Tiruan dan Seleksi Fitur,breast cancer is still one of the leading causes of death in the world prevention can be done if the cancer can be recognized early on whether the cancer is malignant or benign in this study a comparison of malignant and benign cancer classifications was performed using two artificial neural network methods which are the feed-forward backpropagation method and the elman recurrent neural network method before and after the feature selection of the data the result of the study produced that feed-forward backpropagation method using 2 hidden layers is better after the feature selection was performed on the data with an accuracy value of 99 26,Publish Date 01 Dec 2019,"Wijaya, Wahyu Septian","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 2 (2019): Jeliku Volume 8 No 2, November 2019",8
Segmentation of Certificate With Connected Component Labeling Method,certificate is one of the documents that can be used as evidence of ownership or an event for example when certificate used as requirement to participate in an event if a document is made as a requirement of course the file verification process will be done seeing the time optimization problem when verifying the file the authors carry out research by segmenting important data contained in a certificate as an initial step in the development of an automatic document verification system the segmentation process carried out in this study uses the connected component labeling method in determining the area to be segmented and automatic cropping to cut the results of the segmentation process by using these two methods obtained an accuracy of 60 with a total of 15 pieces of test data,Publish Date 08 Jan 2020,"Adi Pramartha, Cokorda Rai","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 2 (2019): Jeliku Volume 8 No 2, November 2019",10
Syllabification of Balinese Words Using the Syllabification Algorithm,abstract this research discusses the syllabification of balinese words the syllabification of balinese words is necessary in determining padalingsa in pupuh in order to be able to develop the application of technology in the field of pupuh literary a system that can automatically find the correct division of a balinese word into syllabels is required several studies have been conducted on the syllabification spanish and sinhala language using rule-based approach both of the studies achieved good accuracy score thus in this research we apply the rule-based syllabification approach on balinese words the data used in this study were 257 balinese words in which the system managed to correctly vide the word as many as 244 and obtained an accuracy score of 94 94 keywords syllabification algorithm word balinese word syllabification rule-based,Publish Date 08 Jan 2020,"Putrawan, Putu Bagus Kresna","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 2 (2019): Jeliku Volume 8 No 2, November 2019",6
Akuisisi Bukti Media Sosial Digital LINE Menggunakan Metode National Institute of Justice (NIJ),nowadays the use of social media has developed very rapidly over time with very easy to use and also higher security than ordinary messaging services making one of the factors of social media is very often used in today s world but behind it all social media such as line is very vulnerable to become one of the crime facilities one of which is cyberbullying to follow up on the cyberbullying activity a forensic cellphone needs to be carried out to find evidence which is then useful to send to court this study uses the line application as cyberbullying crime media as well as using the national institute of justice nij method the national institute of justice nij method has five basic stages namely preparation collection examination analysis and reporting in this study using the mobiledit forensic tool and db browser for sqlite it is hoped that the research carried out can help in solving cyberbullying on social media line on mobile forensics,Publish Date 08 Jan 2020,"Muliantara, Agus","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 2 (2019): Jeliku Volume 8 No 2, November 2019",5
